model,total_windows,eval_windows,eligible_labelled_windows,median_count,median_lambda_hat,median_expected_active_mean,sum_count_over_expected,mean_count_minus_expected,median_p_mid,clipped,ter_0.05,ter_0.01,ter_0.005,ter_0.001
04 all-window,27314581,6888685,472,5.0,1.9362694835639611,2.2626341950709863,1.797180346350898,5.461656417997735,0.08111310210389257,1730,9.337814111111191,38.11474904136276,71.18961020862471,311.80217995161627
25 back-solved,27262398,6880463,459,5.0,7.991936118806236,7.994639735638886,0.9890405918067647,-0.13650256079584977,0.7957036741165484,303,3.7510964015067008,14.572812905178036,26.39531671051788,106.00638358203511
