variant,K,day,human,machine
global,1000,42,364,636
global,1000,43,214,786
global,1000,44,260,740
global,1000,45,399,601
global,1000,46,521,479
global,1000,47,475,525
global,1000,48,352,648
global,1000,49,81,919
global,1000,50,125,875
global,1000,51,203,797
global,1000,52,310,690
global,1000,53,527,473
global,1000,54,321,679
global,1000,55,385,615
global,1000,56,332,668
global,1000,57,395,605
