account_type,hour,dow,stage,alpha,n,ter
human,9,5,stratified,0.005,52403,0.6869835696429594
human,9,5,stratified,0.001,52403,0.7251493235120127
human,9,6,global,0.05,77686,1.4800607574080271
human,9,6,global,0.01,77686,1.8355945730247405
human,9,6,global,0.005,77686,1.8510413716757201
human,9,6,global,0.001,77686,1.596169193934557
human,9,6,stratified,0.05,77686,0.9170249465798214
human,9,6,stratified,0.01,77686,0.9718610817907989
human,9,6,stratified,0.005,77686,0.9808717143372037
human,9,6,stratified,0.001,77686,1.0812759055685708
human,10,0,global,0.05,80149,1.5061947123482513
human,10,0,global,0.01,80149,1.6544186452731788
human,10,0,global,0.005,80149,1.7068210458021933
human,10,0,global,0.001,80149,2.0212354489762814
human,10,0,stratified,0.05,80149,0.9991391034198804
human,10,0,stratified,0.01,80149,1.015608429300428
human,10,0,stratified,0.005,80149,1.0031316672697101
human,10,0,stratified,0.001,80149,1.0854782966724477
human,10,1,global,0.05,75894,1.7358420955543257
human,10,1,global,0.01,75894,2.1872611800669355
human,10,1,global,0.005,75894,2.303212375154821
human,10,1,global,0.001,75894,1.8183255593327534
human,10,1,stratified,0.05,75894,1.4512346167022423
human,10,1,stratified,0.01,75894,1.674704192689804
human,10,1,stratified,0.005,75894,1.8736659024428808
human,10,1,stratified,0.001,75894,1.1199831343716236
human,10,2,global,0.05,55674,1.4046053813270105
human,10,2,global,0.01,55674,1.4602866688220713
human,10,2,global,0.005,55674,1.4656751805151416
human,10,2,global,0.001,55674,1.2752811006933218
human,10,2,stratified,0.05,55674,1.2239106225527174
human,10,2,stratified,0.01,55674,1.3022236591586738
human,10,2,stratified,0.005,55674,1.3291662176240255
human,10,2,stratified,0.001,55674,1.2573193950497539
human,10,3,global,0.05,27873,0.357335055429986
human,10,3,global,0.01,27873,0.2870161087791052
human,10,3,global,0.005,27873,0.3587701359738815
human,10,3,global,0.001,27873,1.0045563807268683
human,10,3,stratified,0.05,27873,0.6859684999820614
human,10,3,stratified,0.01,27873,0.7390664801061959
human,10,3,stratified,0.005,27873,0.8466975208983605
human,10,3,stratified,0.001,27873,0.932802353532092
human,10,4,global,0.05,26591,0.30160580647587526
human,10,4,global,0.01,26591,0.30085367229513743
human,10,4,global,0.005,26591,0.413673799405814
human,10,4,global,0.001,26591,1.0153811439960887
human,10,4,stratified,0.05,26591,0.7055018615320974
human,10,4,stratified,0.01,26591,0.7521341807378437
human,10,4,stratified,0.005,26591,0.8348689406190063
human,10,4,stratified,0.001,26591,1.052987853032981
human,10,5,global,0.05,53864,1.0830981731768898
human,10,5,global,0.01,53864,1.1584731917421656
human,10,5,global,0.005,53864,1.1584731917421656
human,10,5,global,0.001,53864,0.9839596019604931
human,10,5,stratified,0.05,53864,0.6965691370859942
human,10,5,stratified,0.01,53864,0.7611762958562305
human,10,5,stratified,0.005,53864,0.8131590672805584
human,10,5,stratified,0.001,53864,0.9839596019604931
human,10,6,global,0.05,77921,1.4139962269478061
human,10,6,global,0.01,77921,1.6657897100909895
human,10,6,global,0.005,77921,1.7119903491998305
human,10,6,global,0.001,77921,1.424519705855931
human,10,6,stratified,0.05,77921,0.9463430910794265
human,10,6,stratified,0.01,77921,0.983046932149228
human,10,6,stratified,0.005,77921,0.9291461865222469
human,10,6,stratified,0.001,77921,0.9111792713132532
human,11,0,global,0.05,78139,1.4927245037689245
human,11,0,global,0.01,78139,1.6214694326776642
human,11,0,global,0.005,78139,1.7430476458618616
human,11,0,global,0.001,78139,2.1756101306645848
human,11,0,stratified,0.05,78139,1.0284237064718
human,11,0,stratified,0.01,78139,1.1786687825541664
human,11,0,stratified,0.005,78139,1.394950024955528
human,11,0,stratified,0.001,78139,0.9598279988226109
human,11,1,global,0.05,73420,1.6575864886951786
human,11,1,global,0.01,73420,1.9177335875783164
human,11,1,global,0.005,73420,1.8632525197493872
human,11,1,global,0.001,73420,1.4846090983383275
human,11,1,stratified,0.05,73420,1.3857259602288203
human,11,1,stratified,0.01,73420,1.5241078725143014
human,11,1,stratified,0.005,73420,1.5445382729501498
human,11,1,stratified,0.001,73420,0.7627349496050123
human,11,2,global,0.05,54159,1.2703336472239148
human,11,2,global,0.01,54159,1.1890913790875015
human,11,2,global,0.005,54159,1.1890913790875015
human,11,2,global,0.001,54159,1.0339925035543494
human,11,2,stratified,0.05,54159,1.1650879816835613
human,11,2,stratified,0.01,54159,1.0266068428146753
human,11,2,stratified,0.005,54159,0.9822928783766317
human,11,2,stratified,0.001,54159,0.8493509850625012
human,11,3,global,0.05,28006,0.41705348853817037
human,11,3,global,0.01,28006,0.2820824109119474
human,11,3,global,0.005,28006,0.3213597086338642
human,11,3,global,0.001,28006,1.0711990287795472
human,11,3,stratified,0.05,28006,0.8091123330714847
human,11,3,stratified,0.01,28006,0.6677140612725845
human,11,3,stratified,0.005,28006,0.7569806470042134
human,11,3,stratified,0.001,28006,0.9640791259015925
human,11,4,global,0.05,26752,0.29680023923444976
human,11,4,global,0.01,26752,0.29904306220095694
human,11,4,global,0.005,26752,0.39623205741626794
human,11,4,global,0.001,26752,1.1214114832535884
human,11,4,stratified,0.05,26752,0.6623803827751196
human,11,4,stratified,0.01,26752,0.7550837320574163
human,11,4,stratified,0.005,26752,0.8373205741626795
human,11,4,stratified,0.001,26752,1.2335526315789473
human,11,5,global,0.05,52876,0.9770027990014374
human,11,5,global,0.01,52876,0.9853241546259172
human,11,5,global,0.005,52876,1.0136924124366442
human,11,5,global,0.001,52876,1.0401694530599894
human,11,5,stratified,0.05,52876,0.6554958771465315
human,11,5,stratified,0.01,52876,0.6562523640214841
human,11,5,stratified,0.005,52876,0.6581435812088661
human,11,5,stratified,0.001,52876,0.7753990468265375
human,11,6,global,0.05,76448,1.4961804102134784
human,11,6,global,0.01,76448,1.6494872331519466
human,11,6,global,0.005,76448,1.6272498953537045
human,11,6,global,0.001,76448,1.5173712850565089
human,11,6,stratified,0.05,76448,1.008005441607367
human,11,6,stratified,0.01,76448,1.0543114273754708
human,11,6,stratified,0.005,76448,1.0987861029719548
human,11,6,stratified,0.001,76448,1.2688363331938048
human,12,0,global,0.05,76337,1.5072638432215046
human,12,0,global,0.01,76337,1.5719768919396884
human,12,0,global,0.005,76337,1.5850766993725192
human,12,0,global,0.001,76337,1.6505757365366729
human,12,0,stratified,0.05,76337,1.0707782595595845
human,12,0,stratified,0.01,76337,1.0781141517219697
human,12,0,stratified,0.005,76337,1.1580229770622372
human,12,0,stratified,0.001,76337,0.6287907567758754
human,12,1,global,0.05,72730,1.7318850543104631
human,12,1,global,0.01,72730,1.959301526192768
human,12,1,global,0.005,72730,1.9991750309363399
human,12,1,global,0.001,72730,1.6499381273202254
human,12,1,stratified,0.05,72730,1.454970438608552
human,12,1,stratified,0.01,72730,1.6966863742609652
human,12,1,stratified,0.005,72730,1.7846830743847106
human,12,1,stratified,0.001,72730,0.9349649388147944
human,12,2,global,0.05,52806,1.2884899443245084
human,12,2,global,0.01,52806,1.0983600348445253
human,12,2,global,0.005,52806,1.015036170132182
human,12,2,global,0.001,52806,0.6817407112828088
human,12,2,stratified,0.05,52806,1.1938037344241184
human,12,2,stratified,0.01,52806,1.1362345188046814
human,12,2,stratified,0.005,52806,1.0642729992803848
human,12,2,stratified,0.001,52806,0.5491800174222626
human,12,3,global,0.05,27706,0.38764166606511224
human,12,3,global,0.01,27706,0.2851367934743377
human,12,3,global,0.005,27706,0.3753699559662167
human,12,3,global,0.001,27706,1.4076373348733127
human,12,3,stratified,0.05,27706,0.7507399119324334
human,12,3,stratified,0.01,27706,0.696600014437306
human,12,3,stratified,0.005,27706,0.7507399119324334
human,12,3,stratified,0.001,27706,1.4076373348733127
human,12,4,global,0.05,27137,0.3508125437594428
human,12,4,global,0.01,27137,0.33533551977005566
human,12,4,global,0.005,27137,0.44220068541106244
human,12,4,global,0.001,27137,1.031801599292479
human,12,4,stratified,0.05,27137,0.8099642554445959
human,12,4,stratified,0.01,27137,0.8143862622987066
human,12,4,stratified,0.005,27137,0.9359914507867486
human,12,4,stratified,0.001,27137,0.9949515421748902
human,12,5,global,0.05,51516,1.0218184641664725
human,12,5,global,0.01,51516,0.9045733364391645
human,12,5,global,0.005,51516,0.8308098454848979
human,12,5,global,0.001,51516,0.6405776846028418
human,12,5,stratified,0.05,51516,0.6533892382948987
human,12,5,stratified,0.01,51516,0.47752154670393665
human,12,5,stratified,0.005,51516,0.4697569687087507
human,12,5,stratified,0.001,51516,0.5435204596630173
human,12,6,global,0.05,75809,1.45418090200372
human,12,6,global,0.01,75809,1.5802873009800946
human,12,6,global,0.005,75809,1.635689693835824
human,12,6,global,0.001,75809,1.8467464285243176
human,12,6,stratified,0.05,75809,0.9436874249759264
human,12,6,stratified,0.01,75809,1.0605600918096796
human,12,6,stratified,0.005,75809,1.1845559234391696
human,12,6,stratified,0.001,75809,1.9654658417865953
human,13,0,global,0.05,78179,1.5684518860563579
human,13,0,global,0.01,78179,1.7306437790199414
human,13,0,global,0.005,78179,1.7293646631448345
human,13,0,global,0.001,78179,1.72680643139462
human,13,0,stratified,0.05,78179,1.107714347842771
human,13,0,stratified,0.01,78179,1.2151600813517696
human,13,0,stratified,0.005,78179,1.2867905703577687
human,13,0,stratified,0.001,78179,1.0488750175878432
human,13,1,global,0.05,76061,1.7367639131749515
human,13,1,global,0.01,76061,1.9510655920905589
human,13,1,global,0.005,76061,1.96421293435532
human,13,1,global,0.001,76061,1.5908284140361026
human,13,1,stratified,0.05,76061,1.3802079909546285
human,13,1,stratified,0.01,76061,1.5014264866357265
human,13,1,stratified,0.005,76061,1.461984459841443
human,13,1,stratified,0.001,76061,1.1306714347694613
human,13,2,global,0.05,53656,1.2453406888325629
human,13,2,global,0.01,53656,1.138735649321604
human,13,2,global,0.005,53656,1.0921425376472342
human,13,2,global,0.001,53656,0.9504994781571492
human,13,2,stratified,0.05,53656,1.0682868644699568
human,13,2,stratified,0.01,53656,1.0902788131802594
human,13,2,stratified,0.005,53656,1.1592366184583272
human,13,2,stratified,0.001,53656,1.1927836588638736
human,13,3,global,0.05,27459,0.3678211151170836
human,13,3,global,0.01,27459,0.2476419388907098
human,13,3,global,0.005,27459,0.32776138970829233
human,13,3,global,0.001,27459,1.0561200335044976
human,13,3,stratified,0.05,27459,0.8121198878327688
human,13,3,stratified,0.01,27459,0.8121198878327688
human,13,3,stratified,0.005,27459,1.0197021013146872
human,13,3,stratified,0.001,27459,1.092537965694308
human,13,4,global,0.05,27138,0.38691134202962635
human,13,4,global,0.01,27138,0.39796595180190136
human,13,4,global,0.005,27138,0.6043186675510354
human,13,4,global,0.001,27138,1.5476453681185054
human,13,4,stratified,0.05,27138,0.7951949296189844
human,13,4,stratified,0.01,27138,0.8991082614783699
human,13,4,stratified,0.005,27138,1.127570196772054
human,13,4,stratified,0.001,27138,1.473947969636672
human,13,5,global,0.05,52171,1.037741273887792
human,13,5,global,0.01,52171,0.9948055433095013
human,13,5,global,0.005,52171,1.0043894117421557
human,13,5,global,0.001,52171,1.0542255275919572
human,13,5,stratified,0.05,52171,0.6394357018266853
human,13,5,stratified,0.01,52171,0.6344520902417051
human,13,5,stratified,0.005,52171,0.578865653332311
human,13,5,stratified,0.001,52171,0.7475417377470241
human,13,6,global,0.05,79690,1.418747647132639
human,13,6,global,0.01,79690,1.5522650269795457
human,13,6,global,0.005,79690,1.5911657673484754
human,13,6,global,0.001,79690,1.6815158740117957
human,13,6,stratified,0.05,79690,0.9037520391517129
human,13,6,stratified,0.01,79690,1.0314970510729076
human,13,6,stratified,0.005,79690,1.1594930355126114
human,13,6,stratified,0.001,79690,1.543480988831723
human,14,0,global,0.05,78863,1.551805028974297
human,14,0,global,0.01,78863,1.5939033513815095
human,14,0,global,0.005,78863,1.5824911555482293
human,14,0,global,0.001,78863,1.6611085046219394
human,14,0,stratified,0.05,78863,1.0575301472173262
human,14,0,stratified,0.01,78863,1.1082510175874618
human,14,0,stratified,0.005,78863,1.1995485842537057
human,14,0,stratified,0.001,78863,1.1665800185131177
human,14,1,global,0.05,75114,1.7834225310860823
human,14,1,global,0.01,75114,1.9809888968767473
human,14,1,global,0.005,75114,1.9330617461458584
human,14,1,global,0.001,75114,1.6375109833053758
human,14,1,stratified,0.05,75114,1.3358361956492797
human,14,1,stratified,0.01,75114,1.479085123944937
human,14,1,stratified,0.005,75114,1.5602950182389435
human,14,1,stratified,0.001,75114,1.4511276193519185
human,14,2,global,0.05,52633,1.1920278152489883
human,14,2,global,0.01,52633,1.1456690669351928
human,14,2,global,0.005,52633,1.0677711701784052
human,14,2,global,0.001,52633,0.9119753766648301
human,14,2,stratified,0.05,52633,1.031292155111812
human,14,2,stratified,0.01,52633,0.9765736325119222
human,14,2,stratified,0.005,52633,1.033572093553474
human,14,2,stratified,0.001,52633,0.9689738377063819
human,14,3,global,0.05,26414,0.3437570985083667
human,14,3,global,0.01,26414,0.3217990459604755
human,14,3,global,0.005,26414,0.43158930869993184
human,14,3,global,0.001,26414,1.5900658741576437
human,14,3,stratified,0.05,26414,0.8525781782388127
human,14,3,stratified,0.01,26414,0.8669644885288106
human,14,3,stratified,0.005,26414,0.9313242977209056
human,14,3,stratified,0.001,26414,1.5900658741576437
human,14,4,global,0.05,27493,0.3673662386789365
human,14,4,global,0.01,27493,0.38555268613828975
human,14,4,global,0.005,27493,0.5674171607318227
human,14,4,global,0.001,27493,1.4912886916669696
human,14,4,stratified,0.05,27493,0.74127959844324
human,14,4,stratified,0.01,27493,0.807478267195286
human,14,4,stratified,0.005,27493,1.0257156367075255
human,14,4,stratified,0.001,27493,1.054813952642491
human,14,5,global,0.05,52171,1.0806770044660825
human,14,5,global,0.01,52171,1.0312242433535872
human,14,5,global,0.005,52171,1.0618926223380805
human,14,5,global,0.001,52171,1.3225738437062735
human,14,5,stratified,0.05,52171,0.6528531176324011
human,14,5,stratified,0.01,52171,0.5865327480784344
human,14,5,stratified,0.005,52171,0.6670372429127293
human,14,5,stratified,0.001,52171,0.7475417377470241
human,14,6,global,0.05,77126,1.4804346134896142
human,14,6,global,0.01,77126,1.642766382283536
human,14,6,global,0.005,77126,1.6336903249228534
human,14,6,global,0.001,77126,1.7244508985296787
human,14,6,stratified,0.05,77126,1.0118507377538055
human,14,6,stratified,0.01,77126,1.0333739594948526
human,14,6,stratified,0.005,77126,1.1176516349869046
human,14,6,stratified,0.001,77126,1.7114851023001323
human,15,0,global,0.05,77879,1.5210775690494227
human,15,0,global,0.01,77879,1.6345869875062597
human,15,0,global,0.005,77879,1.65127954904403
human,15,0,global,0.001,77879,1.4381283786386574
human,15,0,stratified,0.05,77879,1.0770554321447372
human,15,0,stratified,0.01,77879,1.1402303573492212
human,15,0,stratified,0.005,77879,1.1607750484726305
human,15,0,stratified,0.001,77879,1.0529154200747313
human,15,1,global,0.05,73678,1.8363690653926545
human,15,1,global,0.01,73678,1.9517359320285566
human,15,1,global,0.005,73678,1.802437634029154
human,15,1,global,0.001,73678,1.9815955916284371
human,15,1,stratified,0.05,73678,1.3151822796492847
human,15,1,stratified,0.01,73678,1.2988951925948045
human,15,1,stratified,0.005,73678,1.3599717690491055
human,15,1,stratified,0.001,73678,1.5608458427210294
human,15,2,global,0.05,48429,1.0869520328728655
human,15,2,global,0.01,48429,1.0035309422040513
human,15,2,global,0.005,48429,1.0117904561316566
human,15,2,global,0.001,48429,0.6814098990274422
human,15,2,stratified,0.05,48429,1.0060087963823328
human,15,2,stratified,0.01,48429,1.0055958206859525
human,15,2,stratified,0.005,48429,1.0613475396972887
human,15,2,stratified,0.001,48429,0.8672489623985628
human,15,3,global,0.05,26422,0.32245855726288697
human,15,3,global,0.01,26422,0.2611460146847324
human,15,3,global,0.005,26422,0.3103474377412762
human,15,3,global,0.001,26422,0.9840284611308757
human,15,3,stratified,0.05,26422,0.8409658617818484
human,15,3,stratified,0.01,26422,0.6471879494360759
human,15,3,stratified,0.005,26422,0.7266671712966467
human,15,3,stratified,0.001,26422,0.9083339641208085
human,15,4,global,0.05,27266,0.39389716129978725
human,15,4,global,0.01,27266,0.38142741876329495
human,15,4,global,0.005,27266,0.5207951294652681
human,15,4,global,0.001,27266,0.6601628401672412
human,15,4,stratified,0.05,27266,0.7371818381867526
human,15,4,stratified,0.01,27266,0.9058901195628254
human,15,4,stratified,0.005,27266,1.1589525416269346
human,15,4,stratified,0.001,27266,2.2005428005574705
human,15,5,global,0.05,51137,1.0626356649783912
human,15,5,global,0.01,51137,0.9816766724680759
human,15,5,global,0.005,51137,1.0207872968691947
human,15,5,global,0.001,51137,1.114652795431879
human,15,5,stratified,0.05,51137,0.674267164675284
human,15,5,stratified,0.01,51137,0.6394587089582885
human,15,5,stratified,0.005,51137,0.5983925533371139
human,15,5,stratified,0.001,51137,0.7822124880223712
human,15,6,global,0.05,75799,1.522711381416641
human,15,6,global,0.01,75799,1.7256164329344714
human,15,6,global,0.005,75799,1.7018694178023457
human,15,6,global,0.001,75799,2.269159223736461
human,15,6,stratified,0.05,75799,1.0554228947611446
human,15,6,stratified,0.01,75799,1.2229712793044762
human,15,6,stratified,0.005,75799,1.2295676723967335
human,15,6,stratified,0.001,75799,2.137231361891318
human,16,0,global,0.05,69292,1.5993188246839463
human,16,0,global,0.01,69292,1.531201293078566
human,16,0,global,0.005,69292,1.489349419846447
human,16,0,global,0.001,69292,1.399873001212261
human,16,0,stratified,0.05,69292,1.3228078277434623
human,16,0,stratified,0.01,69292,1.301737574323154
human,16,0,stratified,0.005,69292,1.4345090342319458
human,16,0,stratified,0.001,69292,1.1545344339894936
human,16,1,global,0.05,67859,1.608040201005025
human,16,1,global,0.01,67859,1.69763774886161
human,16,1,global,0.005,67859,1.6829013100694086
human,16,1,global,0.001,67859,2.004155675739401
human,16,1,stratified,0.05,67859,1.3672467911404529
human,16,1,stratified,0.01,67859,1.4456446455149647
human,16,1,stratified,0.005,67859,1.506064044562991
human,16,1,stratified,0.001,67859,1.576798950765558
human,16,2,global,0.05,39979,0.8674554140923985
human,16,2,global,0.01,39979,0.7303834513119387
human,16,2,global,0.005,39979,0.7453913304484854
human,16,2,global,0.001,39979,0.4752495059906451
human,16,2,stratified,0.05,39979,1.0045273768728582
human,16,2,stratified,0.01,39979,1.0855699242102104
human,16,2,stratified,0.005,39979,1.1255909352410016
human,16,2,stratified,0.001,39979,1.4007353860776908
human,16,3,global,0.05,26328,0.3281677301731996
human,16,3,global,0.01,26328,0.2544819203889395
human,16,3,global,0.005,26328,0.3038590094196293
human,16,3,global,0.001,26328,0.9495594044363415
human,16,3,stratified,0.05,26328,0.8948647827408082
human,16,3,stratified,0.01,26328,0.7710422364023093
human,16,3,stratified,0.005,26328,0.7748404740200547
human,16,3,stratified,0.001,26328,0.6457003950167123
human,16,4,global,0.05,27002,0.3970076290645137
human,16,4,global,0.01,27002,0.34071550255536626
human,16,4,global,0.005,27002,0.43700466632101326
human,16,4,global,0.001,27002,0.4814458188282349
human,16,4,stratified,0.05,27002,0.721428042367232
human,16,4,stratified,0.01,27002,0.885119620768832
human,16,4,stratified,0.005,27002,1.059180801422117
human,16,4,stratified,0.001,27002,2.925709206725428
human,16,5,global,0.05,47826,1.0040563710115835
human,16,5,global,0.01,47826,0.9011834566971939
human,16,5,global,0.005,47826,0.9910927110776565
human,16,5,global,0.001,47826,1.2963659933927152
human,16,5,stratified,0.05,47826,0.6456739012252749
human,16,5,stratified,0.01,47826,0.6251829548780997
human,16,5,stratified,0.005,47826,0.6900012545477355
human,16,5,stratified,0.001,47826,0.9827290595073809
human,16,6,global,0.05,68423,1.4384052146208144
human,16,6,global,0.01,68423,1.4118059716761906
human,16,6,global,0.005,68423,1.3796530406442278
human,16,6,global,0.001,68423,1.7099513321543924
human,16,6,stratified,0.05,68423,1.0394165704514564
human,16,6,stratified,0.01,68423,1.0683542083802229
human,16,6,stratified,0.005,68423,1.204273416833521
human,16,6,stratified,0.001,68423,1.9730207678704528
human,17,0,global,0.05,50778,1.3249832604671312
human,17,0,global,0.01,50778,1.1087478829414312
human,17,0,global,0.005,50778,1.0358816810429714
human,17,0,global,0.001,50778,1.3391626294852101
human,17,0,stratified,0.05,50778,1.2481783449525385
human,17,0,stratified,0.01,50778,1.2505415731222183
human,17,0,stratified,0.005,50778,1.362794911182008
human,17,0,stratified,0.001,50778,2.1269053527118045
human,17,1,global,0.05,47014,1.445526864338282
human,17,1,global,0.01,47014,1.3442804271068194
human,17,1,global,0.005,47014,1.2974858552771515
human,17,1,global,0.001,47014,1.53145871442549
human,17,1,stratified,0.05,47014,1.4587144254902795
human,17,1,stratified,0.01,47014,1.533585740417748
human,17,1,stratified,0.005,47014,1.595269494193219
human,17,1,stratified,0.001,47014,1.53145871442549
human,17,2,global,0.05,32164,0.6417112299465241
human,17,2,global,0.01,32164,0.4414873771918916
human,17,2,global,0.005,32164,0.4601417734112673
human,17,2,global,0.001,32164,0.4352692451187663
human,17,2,stratified,0.05,32164,0.9980101977365998
human,17,2,stratified,0.01,32164,0.9327198109687849
human,17,2,stratified,0.005,32164,1.013555527919413
human,17,2,stratified,0.001,32164,1.5856236786469344
human,17,3,global,0.05,26480,0.357250755287009
human,17,3,global,0.01,26480,0.23036253776435048
human,17,3,global,0.005,26480,0.3021148036253776
human,17,3,global,0.001,26480,0.9441087613293052
human,17,3,stratified,0.05,26480,0.8058912386706948
human,17,3,stratified,0.01,26480,0.8496978851963747
human,17,3,stratified,0.005,26480,0.8534743202416919
human,17,3,stratified,0.001,26480,0.9441087613293052
human,17,4,global,0.05,27193,0.4471739050490935
human,17,4,global,0.01,27193,0.3015481925495532
human,17,4,global,0.005,27193,0.3971610340896554
human,17,4,global,0.001,27193,0.5516125473467436
human,17,4,stratified,0.05,27193,0.7869672342146875
human,17,4,stratified,0.01,27193,0.8789026587724782
human,17,4,stratified,0.005,27193,0.9340639135071527
human,17,4,stratified,0.001,27193,2.3535468686794396
human,17,5,global,0.05,37700,0.8435013262599469
human,17,5,global,0.01,37700,0.5676392572944297
human,17,5,global,0.005,37700,0.6259946949602122
human,17,5,global,0.001,37700,1.0610079575596816
human,17,5,stratified,0.05,37700,0.7039787798408488
human,17,5,stratified,0.01,37700,0.5358090185676393
human,17,5,stratified,0.005,37700,0.5570291777188329
human,17,5,stratified,0.001,37700,0.5039787798408487
human,17,6,global,0.05,49858,1.225079224998997
human,17,6,global,0.01,49858,1.0008423923944
human,17,6,global,0.005,49858,0.9386658109029644
human,17,6,global,0.001,49858,1.4441012475430222
human,17,6,stratified,0.05,49858,0.9936218861566849
human,17,6,stratified,0.01,49858,0.9647398612058246
human,17,6,stratified,0.005,49858,0.9587227726743953
human,17,6,stratified,0.001,49858,2.0056961771430863
human,18,0,global,0.05,40073,1.039602725026826
human,18,0,global,0.01,40073,0.8234971177600879
human,18,0,global,0.005,40073,0.84845157587403
human,18,0,global,0.001,40073,1.2477229056971026
human,18,0,stratified,0.05,40073,1.2572055997804006
human,18,0,stratified,0.01,40073,1.225263893394555
human,18,0,stratified,0.005,40073,1.492276595213735
human,18,0,stratified,0.001,40073,2.1211289396850748
human,18,1,global,0.05,36404,1.054829139654983
human,18,1,global,0.01,36404,0.7911218547412372
human,18,1,global,0.005,36404,0.7087133282056917
human,18,1,global,0.001,36404,0.9889023184265464
human,18,1,stratified,0.05,36404,1.5097242061311944
human,18,1,stratified,0.01,36404,1.5190638391385562
human,18,1,stratified,0.005,36404,1.4778595758707835
human,18,1,stratified,0.001,36404,1.1537193714976377
human,18,2,global,0.05,29015,0.5645355850422196
human,18,2,global,0.01,29015,0.36532827847665
human,18,2,global,0.005,29015,0.46872307427192833
human,18,2,global,0.001,29015,0.5169739789763915
human,18,2,stratified,0.05,29015,1.048423229364122
human,18,2,stratified,0.01,29015,1.2338445631569879
human,18,2,stratified,0.005,29015,1.3579183181113217
human,18,2,stratified,0.001,29015,2.309150439427882
human,18,3,global,0.05,26605,0.36609659838376246
human,18,3,global,0.01,26605,0.19169329073482427
human,18,3,global,0.005,26605,0.2781432061642548
human,18,3,global,0.001,26605,1.0148468333020109
human,18,3,stratified,0.05,26605,0.820898327382071
human,18,3,stratified,0.01,26605,0.8832926141702687
human,18,3,stratified,0.005,26605,0.8344296184927645
human,18,3,stratified,0.001,26605,0.9020860740462319
human,18,4,global,0.05,26443,0.4447301743372537
human,18,4,global,0.01,26443,0.32144612941043
human,18,4,global,0.005,26443,0.44624286200506746
human,18,4,global,0.001,26443,0.6050750671255153
human,18,4,stratified,0.05,26443,0.8720644404946488
human,18,4,stratified,0.01,26443,0.8924857240101349
human,18,4,stratified,0.005,26443,1.1193888741822031
human,18,4,stratified,0.001,26443,2.8362893771508526
human,18,5,global,0.05,32770,0.6536466280134269
human,18,5,global,0.01,32770,0.38754958803783945
human,18,5,global,0.005,32770,0.48214830637778455
human,18,5,global,0.001,32770,0.9459871833994506
human,18,5,stratified,0.05,32770,0.7946292340555385
human,18,5,stratified,0.01,32770,0.6774488861763808
human,18,5,stratified,0.005,32770,0.7079646017699115
human,18,5,stratified,0.001,32770,1.098565761367104
human,18,6,global,0.05,39535,0.932844315163779
human,18,6,global,0.01,39535,0.6272922726697863
human,18,6,global,0.005,39535,0.5969394207664095
human,18,6,global,0.001,39535,1.0623498166181864
human,18,6,stratified,0.05,39535,1.025420513469078
human,18,6,stratified,0.01,39535,1.1205261160996585
human,18,6,stratified,0.005,39535,1.0370557733653725
human,18,6,stratified,0.001,39535,2.048817503477931
human,19,0,global,0.05,37411,0.7591350137660047
human,19,0,global,0.01,37411,0.5372751329822779
human,19,0,global,0.005,37411,0.6468685680682152
human,19,0,global,0.001,37411,1.2830450936890219
human,19,0,stratified,0.05,37411,1.2675416321402795
human,19,0,stratified,0.01,37411,0.932880703536393
human,19,0,stratified,0.005,37411,1.1547405843201197
human,19,0,stratified,0.001,37411,0.8286332896741601
human,19,1,global,0.05,32796,0.9238931577021587
human,19,1,global,0.01,32796,0.6159287718014392
human,19,1,global,0.005,32796,0.6281253811440419
human,19,1,global,0.001,32796,1.3111355043297963
human,19,1,stratified,0.05,32796,1.5062812538114403
human,19,1,stratified,0.01,32796,1.4696914257836322
human,19,1,stratified,0.005,32796,1.5184778631540432
human,19,1,stratified,0.001,32796,1.4635931211123308
human,19,2,global,0.05,27922,0.40828020915407204
human,19,2,global,0.01,27922,0.25427977938543084
human,19,2,global,0.005,27922,0.2865124274765418
human,19,2,global,0.001,27922,0.42976864121481273
human,19,2,stratified,0.05,27922,0.7227275983095767
human,19,2,stratified,0.01,27922,0.7270252847217248
human,19,2,stratified,0.005,27922,0.7879091755604899
human,19,2,stratified,0.001,27922,1.6116324045555477
human,19,3,global,0.05,26038,0.3064751517013595
human,19,3,global,0.01,26038,0.2150702818956909
human,19,3,global,0.005,26038,0.2688378523696136
human,19,3,global,0.001,26038,0.9217297795529611
human,19,3,stratified,0.05,26038,0.662109224978877
human,19,3,stratified,0.01,26038,0.626008141946386
human,19,3,stratified,0.005,26038,0.8602811275827636
human,19,3,stratified,0.001,26038,1.0369460019970813
human,19,4,global,0.05,26188,0.40094699862532457
human,19,4,global,0.01,26188,0.381854284405071
human,19,4,global,0.005,26188,0.44295096990988236
human,19,4,global,0.001,26188,0.6873377119291278
human,19,4,stratified,0.05,26188,0.8232778371773332
human,19,4,stratified,0.01,26188,0.8706277684435619
human,19,4,stratified,0.005,26188,1.1761111959676187
human,19,4,stratified,0.001,26188,3.0930197036810756
human,19,5,global,0.05,31461,0.582943962366104
human,19,5,global,0.01,31461,0.39731731349925303
human,19,5,global,0.005,31461,0.4640666221671276
human,19,5,global,0.001,31461,1.0489177076380278
human,19,5,stratified,0.05,31461,0.8664695972791709
human,19,5,stratified,0.01,31461,0.8772766282063508
human,19,5,stratified,0.005,31461,0.8327770890944344
human,19,5,stratified,0.001,31461,1.1124884777979085
