account_type,hour,dow,stage,alpha,n,ter
human,1,6,stratified,0.001,31807,0.28295658188449085
human,2,0,global,0.05,37158,0.9467678561817106
human,2,0,global,0.01,37158,0.3417837343236988
human,2,0,global,0.005,37158,0.26373862963561007
human,2,0,global,0.001,37158,0.8342752570106033
human,2,0,stratified,0.05,37158,0.9828300769686205
human,2,0,stratified,0.01,37158,0.9419236772700361
human,2,0,stratified,0.005,37158,0.8611873620754615
human,2,0,stratified,0.001,37158,1.1303084127240433
human,2,1,global,0.05,38038,0.986382039013618
human,2,1,global,0.01,38038,0.5021294494978705
human,2,1,global,0.005,38038,0.44166359955833645
human,2,1,global,0.001,38038,0.8149744991850254
human,2,1,stratified,0.05,38038,1.3249907986750091
human,2,1,stratified,0.01,38038,1.4985014985014986
human,2,1,stratified,0.005,38038,1.4564382985435618
human,2,1,stratified,0.001,38038,1.3407644986592355
human,2,2,global,0.05,31893,0.9475433480701093
human,2,2,global,0.01,31893,0.44523876712758287
human,2,2,global,0.005,31893,0.2759226162480795
human,2,2,global,0.001,31893,0.21948389928824508
human,2,2,stratified,0.05,31893,1.6310789201392155
human,2,2,stratified,0.01,31893,1.9659486407675664
human,2,2,stratified,0.005,31893,1.856206691123444
human,2,2,stratified,0.001,31893,0.21948389928824508
human,2,3,global,0.05,26287,0.4169361281241678
human,2,3,global,0.01,26287,0.16357895537718264
human,2,3,global,0.005,26287,0.1369498231064785
human,2,3,global,0.001,26287,0.19020808764788677
human,2,3,stratified,0.05,26287,0.8475672385589835
human,2,3,stratified,0.01,26287,0.7303990565678853
human,2,3,stratified,0.005,26287,0.6086658804732377
human,2,3,stratified,0.001,26287,0.11412485258873206
human,2,4,global,0.05,26049,0.20730162386272025
human,2,4,global,0.01,26049,0.17659027217935427
human,2,4,global,0.005,26049,0.3071135168336596
human,2,4,global,0.001,26049,1.0748973089178087
human,2,4,stratified,0.05,26049,0.5988713578256363
human,2,4,stratified,0.01,26049,0.5758378440631118
human,2,4,stratified,0.005,26049,0.6679718991132096
human,2,4,stratified,0.001,26049,0.422281085646282
human,2,5,global,0.05,26373,0.37690061805634545
human,2,5,global,0.01,26373,0.2692147271831039
human,2,5,global,0.005,26373,0.4398437796230994
human,2,5,global,0.001,26373,1.0996094490577486
human,2,5,stratified,0.05,26373,0.7689682629962461
human,2,5,stratified,0.01,26373,0.7773101277822014
human,2,5,stratified,0.005,26373,0.8948545861297539
human,2,5,stratified,0.001,26373,1.0996094490577486
human,2,6,global,0.05,31891,0.5832366498385124
human,2,6,global,0.01,31891,0.24771879213571227
human,2,6,global,0.005,31891,0.34492490044213103
human,2,6,global,0.001,31891,0.689849800884262
human,2,6,stratified,0.05,31891,0.7814116835470821
human,2,6,stratified,0.01,31891,0.5017089460976452
human,2,6,stratified,0.005,31891,0.5957793734909536
human,2,6,stratified,0.001,31891,0.2508544730488226
human,3,0,global,0.05,35369,0.906443495716588
human,3,0,global,0.01,35369,0.3166614832197687
human,3,0,global,0.005,35369,0.22053210438519608
human,3,0,global,0.001,35369,0.6502869744691679
human,3,0,stratified,0.05,35369,1.0506375639684469
human,3,0,stratified,0.01,35369,1.0602505018519042
human,3,0,stratified,0.005,35369,0.9386751109728858
human,3,0,stratified,0.001,35369,1.017840481777828
human,3,1,global,0.05,35494,0.8824026596044401
human,3,1,global,0.01,35494,0.4423282808361977
human,3,1,global,0.005,35494,0.42824139291147795
human,3,1,global,0.001,35494,0.8170394996337409
human,3,1,stratified,0.05,35494,1.3731898349016736
human,3,1,stratified,0.01,35494,1.4424973234912941
human,3,1,stratified,0.005,35494,1.6960613061362484
human,3,1,stratified,0.001,35494,2.1130331887079503
human,3,2,global,0.05,30479,0.8687949079694215
human,3,2,global,0.01,30479,0.2985662259260474
human,3,2,global,0.005,30479,0.23622822271071883
human,3,2,global,0.001,30479,0.06561895075297747
human,3,2,stratified,0.05,30479,1.6824698973063419
human,3,2,stratified,0.01,30479,2.086682633944683
human,3,2,stratified,0.005,30479,1.5092358673184816
human,3,2,stratified,0.001,30479,0.032809475376488734
human,3,3,global,0.05,25494,0.38126618027771236
human,3,3,global,0.01,25494,0.12159723856593709
human,3,3,global,0.005,25494,0.10982976386600769
human,3,3,global,0.001,25494,0.19612457833215657
human,3,3,stratified,0.05,25494,0.9602259355142386
human,3,3,stratified,0.01,25494,0.772730838628697
human,3,3,stratified,0.005,25494,0.7217384482623362
human,3,3,stratified,0.001,25494,0.6275986506629011
human,3,4,global,0.05,25666,0.28520221304449467
human,3,4,global,0.01,25666,0.19091404971557702
human,3,4,global,0.005,25666,0.28831917712148364
human,3,4,global,0.001,25666,1.1688615288708797
human,3,4,stratified,0.05,25666,0.8213200342866048
human,3,4,stratified,0.01,25666,0.6233928153978026
