policy,param,account_type,burden,cv,labelled_days_hit,labelled_day_overlap
fixed_global,0.05,human,25136.42857142857,0.6292569458117524,12.0,0.6666666666666666
fixed_stratified,0.05,human,25500.714285714286,0.4681720128776981,11.0,0.6111111111111112
fixed_global,0.05,machine,71815.28571428571,0.2760328013451452,,
fixed_stratified,0.05,machine,72167.78571428571,0.2642014321135116,,
fixed_global,0.01,human,5281.142857142857,0.7433781371578897,9.0,0.5
fixed_stratified,0.01,human,5289.285714285715,0.5416575267637461,8.0,0.4444444444444444
fixed_global,0.01,machine,13079.714285714286,0.6137985391125051,,
fixed_stratified,0.01,machine,14009.42857142857,0.4846189563953388,,
fixed_global,0.005,human,2759.3571428571427,0.7347607532731278,7.0,0.3888888888888889
fixed_stratified,0.005,human,2758.1428571428573,0.5492691563041086,6.0,0.3333333333333333
fixed_global,0.005,machine,6359.357142857143,0.8899824037880752,,
fixed_stratified,0.005,machine,7169.571428571428,0.6041498482793135,,
fixed_global,0.001,human,580.3571428571429,0.5881023176470638,3.0,0.16666666666666666
fixed_stratified,0.001,human,612.0,0.4652161281239567,1.0,0.05555555555555555
fixed_global,0.001,machine,1676.071428571429,1.34145361480398,,
fixed_stratified,0.001,machine,1540.7142857142858,0.8781990955322507,,
topk_per_type,10.0,human,5.0,0.0,0.0,0.0
topk_per_type,10.0,machine,5.0,0.0,,
topk_per_type,50.0,human,25.0,0.0,1.0,0.05555555555555555
topk_per_type,50.0,machine,25.0,0.0,,
topk_per_type,100.0,human,50.0,0.0,1.0,0.05555555555555555
topk_per_type,100.0,machine,50.0,0.0,,
topk_per_type,500.0,human,250.0,0.0,1.0,0.05555555555555555
topk_per_type,500.0,machine,250.0,0.0,,
topk_per_type,1000.0,human,500.0,0.0,3.0,0.16666666666666666
topk_per_type,1000.0,machine,500.0,0.0,,
topk_global,10.0,human,0.0,0.0,0.0,0.0
topk_global,10.0,machine,10.0,0.0,,
topk_global,50.0,human,14.071428571428571,0.9322152252067901,0.0,0.0
topk_global,50.0,machine,35.92857142857143,0.36510218561776864,,
topk_global,100.0,human,38.714285714285715,0.7782405385809501,0.0,0.0
topk_global,100.0,machine,61.285714285714285,0.4916158180779429,,
topk_global,500.0,human,206.64285714285714,0.4776040738163622,1.0,0.05555555555555555
topk_global,500.0,machine,293.35714285714283,0.3364277052716669,,
topk_global,1000.0,human,334.7142857142857,0.4008649265970655,1.0,0.05555555555555555
topk_global,1000.0,machine,665.2857142857143,0.2016805933040422,,
controlled_rate_168h,100.0,human,96.42857142857144,0.6670570556878124,1.0,0.05555555555555555
controlled_rate_168h,100.0,machine,140.78571428571428,1.984224009002037,,
controlled_rate_168h,500.0,human,479.2142857142857,0.589473422133672,4.0,0.2222222222222222
controlled_rate_168h,500.0,machine,595.4285714285714,1.877409849216353,,
qchart_ewma,1.5,human,4640.5,0.7549202891096062,3.0,0.16666666666666666
qchart_ewma,1.5,machine,4153.214285714285,0.8610307726880608,,
qchart_ewma,2.0,human,1589.571428571429,0.7323650852275125,1.0,0.05555555555555555
qchart_ewma,2.0,machine,687.2857142857143,1.1025448887341387,,
qchart_ewma,2.5,human,620.1428571428571,0.6475313202399033,1.0,0.05555555555555555
qchart_ewma,2.5,machine,315.35714285714283,1.1778396631614128,,
qchart_ewma,3.0,human,321.0,0.6174067191756639,0.0,0.0
qchart_ewma,3.0,machine,130.64285714285714,1.259830685451406,,
qchart_ewma,3.5,human,78.14285714285714,0.7824809391350953,0.0,0.0
qchart_ewma,3.5,machine,44.0,1.890939348870335,,
qchart_ewma,4.0,machine,6.357142857142857,3.651548431711169,,
